"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Secure and Reliable Platform Configuration Change Reporting Mechanism for Trusted Computing Enhanced Secure Channels","K. Dietrich","Microcomputing Laboratory, Institute for Applied Information Processing and Communications (IAIK), Graz, Austria","2008 The 9th International Conference for Young Computer Scientists","12 Dec 2008","2008","","","2137","2142","The security of well established secure channel technologies like transport layer security (TLS) or IP security (IPSec) can be significantly improved by emerging concepts like trusted computing. The use of trusted platform modules (TPMs) offers new methods for improving the security of these well established technologies. How secure channel technologies can be adapted to use trusted computing concepts is subject to current research. A major part of this research addresses the integration of the TCG's specified remote attestation. Remote attestation enables a platform to provide a trustworthy proof of its current configuration (i.e. software that has been loaded on the platform). Hence, based on this proof, a remote platform can decide whether to open a channel to another platform or not. In current approaches, the proof of the platform configuration is processed before a secure channel is established, which is not opened if the reported configuration is not accepted by the hosts. However, one important problem has not been solved yet. Currently, no satisfying solution how the change of a platform's configuration can be securely and reliably reported to the remote platform whilst a channel is open, exists. A reliable method to provide a proof for a configuration change can be implemented with only minor modifications of the TPM specification and the TLS protocol. Experimental results show that it is possible to implement this proof mechanism with only a few additional TPM commands.","","978-0-7695-3398-8","10.1109/ICYCS.2008.530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4709304","Trusted computing;platform configuration reporting;secure channels;TLS","Information security;Computer security;Protocols;Proposals;Cryptography;Information processing;Laboratories;Information retrieval;Certification","computer network reliability;cryptographic protocols;IP networks;telecommunication channels;telecommunication security;transport protocols","reliable platform configuration change reporting mechanism;trusted computing;secure channel technology;transport layer security;IP security;trusted platform module;TLS protocol;TPM specification;cryptographic protocol","","1","1","14","IEEE","12 Dec 2008","","","IEEE","IEEE Conferences"
"Multi-band multi-mode SDR radar platform for traffic and security applications","Y. -K. Kwag; I. -S. Woo","School of Electronics and Information Engineering, Korea Aerospace University, Goyang-City, Korea; Radar Research Institute, Korea Aerospace University, Goyang-City, Korea","2016 URSI Asia-Pacific Radio Science Conference (URSI AP-RASC)","20 Oct 2016","2016","","","1182","1183","This paper presents the new development results of the multi-band, multi-mode software-defined radar (SDR) platform. The SDR platform consists of multi-band RF modules of S, X, K-bands, and a multi-mode digital modules with a waveform generator for CW, Pulse, FMCW, and LFM Chirp as well as reconfigurable SDR-GUI software module for user interface. This platform can be used for various applications such as traffic monitoring and surveillance, and security.","","978-1-4673-8801-6","10.1109/URSIAP-RASC.2016.7601347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7601347","Software Defined Radar (SDR);radar system design;multi-band;multi-mode radar","Meteorological radar;Radar antennas;Software;Meteorology;Radar measurements","graphical user interfaces;radar applications;software radio;telecommunication computing;telecommunication security;telecommunication traffic;waveform generators","multiband multimode SDR radar platform;traffic applications;security applications;multiband multimode software-defined radar platform;multimode digital module;waveform generator;LFM chirp;S-band;reconfigurable SDR-GUI software module;user interface;K-band;X-band;FMCW chirp;CW chirp;pulse chirp","","","","3","IEEE","20 Oct 2016","","","IEEE","IEEE Conferences"
"Adaptive security and privacy in smart grids: A software engineering vision","M. Salehie; L. Pasquale; I. Omoronyia; B. Nuseibeh","Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Department of Computing, Open University, Milton Keynes, UK","2012 First International Workshop on Software Engineering Challenges for the Smart Grid (SE-SmartGrids)","28 Jun 2012","2012","","","46","49","Despite the benefits offered by smart grids, energy producers, distributors and consumers are increasingly concerned about possible security and privacy threats. These threats typically manifest themselves at runtime as new usage scenarios arise and vulnerabilities are discovered. Adaptive security and privacy promise to address these threats by increasing awareness and automating prevention, detection and recovery from security and privacy requirements' failures at runtime by re-configuring system controls and perhaps even changing requirements. This paper discusses the need for adaptive security and privacy in smart grids by presenting some motivating scenarios. We then outline some research issues that arise in engineering adaptive security. We particularly scrutinize published reports by NIST on smart grid security and privacy as the basis for our discussions.","","978-1-4673-1864-8","10.1109/SE4SG.2012.6225718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225718","Smart grid;Adaptive software;Security and privacy;Security requirements","Security;Privacy;Smart grids;Monitoring;NIST;Computer architecture;Runtime","data privacy;failure analysis;power engineering computing;power system security;smart power grids;software engineering","smart grids privacy;smart grids adaptive security;software engineering vision;energy producers;privacy threats;security threats;automating prevention;privacy requirements failures;security requirements failures;reconfiguring system controls;engineering adaptive security;NIST","","10","1","16","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"Self-Adaptive Security for SLA Based Smart Contract","I. Singh; S. -W. Lee","Dept. of Computer Engineering, Ajou University, Suwon, Republic of Korea; Dept. of Artificial Intelligence Dept. of Software and Computer Engineering, Ajou University, Suwon, Republic of Korea","2021 IEEE 29th International Requirements Engineering Conference Workshops (REW)","27 Oct 2021","2021","","","388","393","The current smart contracts development practices do not follow a standard security development process to understand and explore the security vulnerabilities and attacks in smart contracts. We propose a self-adaptive security modeling approach for modeling and analyzing Service Level Agreement (SLA) based smart contracts using attack scenarios and goal models. There are many security vulnerabilities and bugs in the smart contract due to inconsistencies in the design of smart contracts. The objective of the proposed research is to help the smart contract security requirements designers and developers to understand the security vulnerabilities, concerns, and to propose a self-adaptive security approach to provide countermeasures to detect and mitigate these attacks in the SLA smart contract in the domain of Blockchain-Based Cloud (BBC).","","978-1-6654-1898-0","10.1109/REW53955.2021.00069","National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582302","Smart Contract;Self-Adaptive Security;Service Level Agreement;Blockchain;Cloud","Analytical models;Conferences;Smart contracts;Computer bugs;Security;Requirements engineering;Standards","blockchains;cloud computing;contracts;security of data;software engineering","security vulnerabilities;self-adaptive security modeling approach;service level agreement;smart contract security requirements designers;self-adaptive security approach;current smart contracts development practices;standard security development process;SLA based smart contract;blockchain-based cloud;BBC","","","","15","IEEE","27 Oct 2021","","","IEEE","IEEE Conferences"
"Reactive and Adaptive Security Monitoring in Cloud Computing","C. Elbaz; L. Rilling; C. Morin","Inria, CNRS, IRISA, Univ Rennes, Rennes, France; DGA, Rennes, France; Inria, CNRS, IRISA, Univ Rennes, Rennes, France","2018 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W)","3 Jan 2019","2018","","","5","7","Cloud computing enabled service-level agreements (SLAs) to gain widespread use among information systems stakeholders. It is now normal for performance and availability of such systems to be carefully measured and evaluated. Contracts that include financial penalties in case of breach are now common. However security is lagging behind this trend; it is as important to stakeholders as performance and availability, but is generally not included in the scope of service-level agreements between stakeholders, and handled instead on a best-effort basis, without any transparency nor SLA with their clients. One reason for this is the difficulty of objectively measuring security. Indeed, the actual security level of a system is dependent on a wide range of factors, some intrinsic to the system - such as a design or implementation mistake resulting in a vulnerability - and some extrinsic to it. For instance, an external event such as the publication of a vulnerability in an open-source software dependency or a change of political context in a country can widely impact the risks faced by an information system even if no actual change were made to the system. These factors are even more numerous in multi-tenant cloud infrastructures because of the sheer number of actors involved - and their sometimes conflicting incentives - and opportunities for both attack and defense at scale. Security monitoring aims to detect and react to attacks in real time; Reactive security monitoring intends to take external events into account while doing so. Improving the accuracy of a system's overall security assessment can help transitioning security to a SLA paradigm and enable better transparency for all stakeholders.","","978-1-5386-5175-9","10.1109/FAS-W.2018.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599521","Security;Cloud;SLA;IDS","Security;Software;Cloud computing;Information systems;Prototypes;Monitoring;Contracts","cloud computing;contracts;public domain software;security of data","multitenant cloud;external event;security assessment;transparency;adaptive security monitoring;cloud computing;service-level agreements;information systems stakeholders;financial penalties;best-effort basis;actual security level;open-source software dependency;information system;actual change;reactive security monitoring","","2","","17","IEEE","3 Jan 2019","","","IEEE","IEEE Conferences"
"Multi-band multi-mode SDR radar platform","Y. -K. Kwag; J. -S. Jung; I. -S. Woo; M. -S. Park","School of Electronics and Information Engineering; School of Electronics and Information Engineering; School of Electronics and Information Engineering; Radar Research Institute, Korea Aerospace University, Goyang-City, korea","2015 IEEE 5th Asia-Pacific Conference on Synthetic Aperture Radar (APSAR)","29 Oct 2015","2015","","","46","49","This paper presents the design results of the multi-band, multi-mode software-defined radar (SDR) system. The SDR platform consists of a multi-band RF modules of S, X, K-bands, and a multi-mode digital modules with a waveform generator for CW, Pulse, FMCW, and LFM Chirp as well as reconfigurable SDR-GUI software module for user interface. This platform can be used for various applications such as security monitoring, collision avoidance, traffic monitoring, and a radar imaging.","","978-1-4673-7297-8","10.1109/APSAR.2015.7306151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306151","Software Defined Radar (SDR);radar system design;multi-band;multi-mode radar","Software;Radio frequency;Signal processing algorithms;Libraries;Radar imaging","CW radar;FM radar;graphical user interfaces;radar computing;software radio;waveform generators","software-defined radar;SDR system;multiband multimode SDR radar platform;multiband RF modules;S-band digital modules;X-band digital modules;K-band digital modules;multimode digital modules;waveform generator;FMCW radar;LFM Chirp;reconfigurable SDR-GUI software module;user interface;security monitoring;collision avoidance;traffic monitoring;radar imaging","","9","","5","IEEE","29 Oct 2015","","","IEEE","IEEE Conferences"
"Software and hardware design of a multi-cipher cryptosystem","C. -P. Young; Y. -B. Lin; C. -C. Chia","Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan","TENCON 2009 - 2009 IEEE Region 10 Conference","22 Jan 2010","2009","","","1","5","Multi-cipher and multi-mode cryptosystems are widely used for hardware acceleration in modern security protocols. In a session of communication, these protocols can only use an algorithm along with its operation mode. The switching of cipher algorithms and operation modes can occur between sessions of communication. This paper introduces a multi-cipher cryptosystem (MCC) which enables a cryptosystem to use multiple cipher algorithms concurrently in a session of communication. With MCC, a file can be encrypted by different cipher algorithms with diverse parameters. The implementation of a sample MCC is introduced in this paper using Field Programmable Gate Array (FPGA). When the number of crypto-processors in MCC meets the requirements of pipelined scheduling, the throughput can reach its maximum value.","2159-3450","978-1-4244-4546-2","10.1109/TENCON.2009.5396161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5396161","algorithm;design;security;multi-ciphe;multi-mode;hardware scheduling;secure protocols","Hardware;Software design;Cryptography;Data security;Field programmable gate arrays;Communication system security;Computer science;Data engineering;Design engineering;Cities and towns","cryptographic protocols;field programmable gate arrays;hardware-software codesign","software-hardware design;multi-cipher cryptosystem;multi-mode cryptosystem;hardware acceleration;security protocols;field programmable gate array;FPGA","","","","17","IEEE","22 Jan 2010","","","IEEE","IEEE Conferences"
"Poster: Reasoning Based on Imperfect Context Data in Adaptive Security","S. Sartoli; A. S. Namin","Computer Science Department, Texas Tech University, Lubbock, TX, USA; Computer Science Department, Texas Tech University, Lubbock, TX, USA","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","17 Aug 2015","2015","2","","835","836","Enabling software systems to adjust their protection in continuously changing environments with imperfect context information is a grand challenging problem. The issue of uncertain reasoning based on imperfect information has been overlooked in traditional logic programming with classical negation when applied to dynamic systems. This paper sketches a non-monotonic approach based on Answer Set Programming to reason with imperfect context data in adaptive security where there is little or no knowledge about certainty of the actions and events.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203093","Adaptive security;imperfect data;non-monotonic logic","Context;Security;Cognition;Adaptation models;Monitoring;Context modeling;Patents","data protection;logic programming;security of data","imperfect context data;adaptive security;software systems;logic programming;dynamic systems;nonmonotonic approach;answer set programming","","4","","5","IEEE","17 Aug 2015","","","IEEE","IEEE Conferences"
"Ariadne: Topology Aware Adaptive Security for Cyber-Physical Systems","C. Tsigkanos; L. Pasquale; C. Ghezzi; B. Nuseibeh","Politecnico di Milano, Milano, Italy; Lero - the Irish Software Research Centre, Limerick, Ireland; Politecnico di Milano, Milano, Italy; Department of Computing, The Open University, Milton Keynes, UK","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","17 Aug 2015","2015","2","","729","732","This paper presents Ariadne, a tool for engineering topology aware adaptive security for cyber-physical systems. It allows security software engineers to model security requirements together with the topology of the operational environment. This model is then used at runtime to perform speculative threat analysis to reason about the consequences that topological changes arising from the movement of agents and assets can have on the satisfaction of security requirements. Our tool also identifies an adaptation strategy that applies security controls when necessary to prevent potential security requirements violations.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203054","Adaptive Systems;Security;Verification","Security;Topology;Servers;Adaptation models;Runtime;Mobile handsets;Ports (Computers)","security of data;software tools","Ariadne tool;cyber-physical systems;engineering topology aware adaptive security;security software engineers;speculative threat analysis;adaptation strategy","","16","","5","IEEE","17 Aug 2015","","","IEEE","IEEE Conferences"
"Security-Measurability-Enhancing Mechanisms for a Distributed Adaptive Security Monitoring System","R. M. Savola; P. Heinonen","VTT Technical Research Center of Finland, Oulu, Finland; VTT Technical Research Center of Finland, Oulu, Finland","2010 Fourth International Conference on Emerging Security Information, Systems and Technologies","11 Nov 2010","2010","","","25","34","Adaptive security management enables resilience, self-protection and self-healing functionality in business-critical applications, their platforms and networks. Sufficient and credible security evidence gathered from the system and its use forms the basis for adaptive security decision-making. This study proposes practical and systematic security-measurability-enhancing mechanisms that support adaptive and distributed security monitoring of telecommunications and software-intensive systems. The study also analyzes the feasibility of the proposed mechanisms.","2162-2116","978-1-4244-7517-9","10.1109/SECURWARE.2010.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5630129","security monitoring;security metrics;adaptive security management","Monitoring;Authentication;Measurement;Engines;Quality of service;Computer crashes","security of data","security measurability enhancing mechanisms;distributed adaptive security monitoring system;self protection;self healing functionality;business critical applications;security evidence;adaptive security decision making;software intensive systems","","13","1","38","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
