"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Secure and Reliable Platform Configuration Change Reporting Mechanism for Trusted Computing Enhanced Secure Channels","K. Dietrich","Microcomputing Laboratory, Institute for Applied Information Processing and Communications (IAIK), Graz, Austria","2008 The 9th International Conference for Young Computer Scientists","12 Dec 2008","2008","","","2137","2142","The security of well established secure channel technologies like transport layer security (TLS) or IP security (IPSec) can be significantly improved by emerging concepts like trusted computing. The use of trusted platform modules (TPMs) offers new methods for improving the security of these well established technologies. How secure channel technologies can be adapted to use trusted computing concepts is subject to current research. A major part of this research addresses the integration of the TCG's specified remote attestation. Remote attestation enables a platform to provide a trustworthy proof of its current configuration (i.e. software that has been loaded on the platform). Hence, based on this proof, a remote platform can decide whether to open a channel to another platform or not. In current approaches, the proof of the platform configuration is processed before a secure channel is established, which is not opened if the reported configuration is not accepted by the hosts. However, one important problem has not been solved yet. Currently, no satisfying solution how the change of a platform's configuration can be securely and reliably reported to the remote platform whilst a channel is open, exists. A reliable method to provide a proof for a configuration change can be implemented with only minor modifications of the TPM specification and the TLS protocol. Experimental results show that it is possible to implement this proof mechanism with only a few additional TPM commands.","","978-0-7695-3398-8","10.1109/ICYCS.2008.530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4709304","Trusted computing;platform configuration reporting;secure channels;TLS","Information security;Computer security;Protocols;Proposals;Cryptography;Information processing;Laboratories;Information retrieval;Certification","computer network reliability;cryptographic protocols;IP networks;telecommunication channels;telecommunication security;transport protocols","reliable platform configuration change reporting mechanism;trusted computing;secure channel technology;transport layer security;IP security;trusted platform module;TLS protocol;TPM specification;cryptographic protocol","","1","1","14","IEEE","12 Dec 2008","","","IEEE","IEEE Conferences"
"Probabilistic impact of transmission line switching on power system operating states","P. Dehghanian; M. Kezunovic","Department of Electrical and Computer Engineering, Texas A&M University, Texas, USA; Department of Electrical and Computer Engineering, Texas A&M University, Texas, USA","2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D)","25 Jul 2016","2016","","","1","5","Power system topology control as a planned corrective action in face of contingencies and also as a measure for achieving economic gains in real time market operation has been recently studied as an enhancement in hour- and day-ahead operations. Although attractive from the reliability and economic standpoint, the attention must be paid to the impact on the power system operating states following the switching implementation to make sure the system security performance in the new migrated operating state is not jeopardized. This paper suggests a probabilistic measure to foresee the likelihood of experiencing undesirable operating state following execution of an optimal hour-ahead switching plan. The presented approach can also be helpful in selecting the most practical switching action when the optimization engine can provide multiple optimal switching scenarios. The proposed tool is tested on a modified IEEE 118-Bus Test System to demonstrate its applicability and effectiveness.","2160-8563","978-1-5090-2157-4","10.1109/TDC.2016.7519884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519884","Economic;operating state;optimization;probabilistic;security;switching;topology control","Switches;Power transmission lines;Topology;Optimization;Probability;Economics","IEEE standards;power markets;power system control;power system economics;power system planning;power system reliability;power system security;power transmission lines","transmission line switching;power system topology control;reliability;system security;hour-ahead switching plan;IEEE 118-bus test system","","7","","33","IEEE","25 Jul 2016","","","IEEE","IEEE Conferences"
"Classification of operating states for decision making in power systems control with feature selection based on mutual information","I. Pisica; G. Taylor","Brunel Institute of Power Systems, Brunel University, London, UK; Brunel Institute of Power Systems, Brunel University, London, UK","2012 9th International Conference on Fuzzy Systems and Knowledge Discovery","9 Jul 2012","2012","","","1589","1593","The classification of power systems operating states plays an important role in power systems control and operation. Determining the state of a power system is crucial and requirements for real-time decision making in power systems security assessment demand low dimensionality and low computational time. This paper investigates the performances of feature extraction based on mutual information in power system state classification with machine learning. The AdaBoost algorithm is used for classification based on large training databases and feature extraction is applied in order to reduce their dimensionality.","","978-1-4673-0024-7","10.1109/FSKD.2012.6234317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6234317","classification;feature extraction;power systems;mutual information","Power systems;Security;Classification algorithms;Power system control;Training;Steady-state;Mutual information","decision making;feature extraction;learning (artificial intelligence);power engineering computing;power system control;power system security","decision making;power systems control;feature selection;mutual information;power systems operating state classification;power systems security assessment;feature extraction;machine learning;AdaBoost algorithm;large training databases;dimensionality reduction","","1","","23","IEEE","9 Jul 2012","","","IEEE","IEEE Conferences"
"Multi-band multi-mode SDR radar platform for traffic and security applications","Y. -K. Kwag; I. -S. Woo","School of Electronics and Information Engineering, Korea Aerospace University, Goyang-City, Korea; Radar Research Institute, Korea Aerospace University, Goyang-City, Korea","2016 URSI Asia-Pacific Radio Science Conference (URSI AP-RASC)","20 Oct 2016","2016","","","1182","1183","This paper presents the new development results of the multi-band, multi-mode software-defined radar (SDR) platform. The SDR platform consists of multi-band RF modules of S, X, K-bands, and a multi-mode digital modules with a waveform generator for CW, Pulse, FMCW, and LFM Chirp as well as reconfigurable SDR-GUI software module for user interface. This platform can be used for various applications such as traffic monitoring and surveillance, and security.","","978-1-4673-8801-6","10.1109/URSIAP-RASC.2016.7601347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7601347","Software Defined Radar (SDR);radar system design;multi-band;multi-mode radar","Meteorological radar;Radar antennas;Software;Meteorology;Radar measurements","graphical user interfaces;radar applications;software radio;telecommunication computing;telecommunication security;telecommunication traffic;waveform generators","multiband multimode SDR radar platform;traffic applications;security applications;multiband multimode software-defined radar platform;multimode digital module;waveform generator;LFM chirp;S-band;reconfigurable SDR-GUI software module;user interface;K-band;X-band;FMCW chirp;CW chirp;pulse chirp","","","","3","IEEE","20 Oct 2016","","","IEEE","IEEE Conferences"
"Design and Research of Intelligent Analysis System of Operating State of Electric Energy Metering Device Based on Computer Technology","Y. Jia; Q. Meng; B. Jiang; Z. Qu; Y. Lin; X. Su; D. Zhang; W. Mao; D. Su","Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Qingdao Dingxin Communication Co., Ltd., Qingdao, China","2023 IEEE International Conference on Control, Electronics and Computer Technology (ICCECT)","6 Jun 2023","2023","","","1491","1496","The model management of electric energy metering devices has been in the state of innovative management for a long time. This model can no longer meet the needs of industrial development in today’s market environment. In order to further strengthen the control of the working state of various electric energy metering devices, it has become an important content of the development of the times to use computer technology to study the intelligent analysis system of the working state of electric energy metering devices. This paper analyzes the various reasons for the failure of electric energy meters, discusses the technical characteristics of various abnormal situations, and puts forward reasonable monitoring principles. This paper completes the overall design of the computer-based intelligent analysis system for the operation status of electric energy metering devices, and designs an external monitoring and processing unit and a fully functional database system. This paper designs the overall structure of the monitoring system of the electric energy meter operation status. The research and development of the main station software of the electric meter state monitoring operating system focuses on the design of the software state monitoring processing unit. Experimental research shows that this paper combines the concept of differentiated operation and maintenance of electric energy metering devices, which reduces the on-site inspection of 33 current transformers in the city, and also helps to ensure the safe operation of the city’s electric power marketing security business.","","979-8-3503-9902-8","10.1109/ICCECT57938.2023.10141463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141463","electric energy metering;status monitoring;running status;management system","Meters;Urban areas;Inspection;Software;Power systems;Computer security;Monitoring","current transformers;innovation management;power engineering computing;power markets;power meters","city;computer technology;computer-based intelligent analysis system;electric energy meter operation status;electric energy metering device;electric energy meters;electric meter state monitoring operating system;software state monitoring processing unit;working state","","","","15","IEEE","6 Jun 2023","","","IEEE","IEEE Conferences"
"Adaptive security and privacy in smart grids: A software engineering vision","M. Salehie; L. Pasquale; I. Omoronyia; B. Nuseibeh","Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Department of Computing, Open University, Milton Keynes, UK","2012 First International Workshop on Software Engineering Challenges for the Smart Grid (SE-SmartGrids)","28 Jun 2012","2012","","","46","49","Despite the benefits offered by smart grids, energy producers, distributors and consumers are increasingly concerned about possible security and privacy threats. These threats typically manifest themselves at runtime as new usage scenarios arise and vulnerabilities are discovered. Adaptive security and privacy promise to address these threats by increasing awareness and automating prevention, detection and recovery from security and privacy requirements' failures at runtime by re-configuring system controls and perhaps even changing requirements. This paper discusses the need for adaptive security and privacy in smart grids by presenting some motivating scenarios. We then outline some research issues that arise in engineering adaptive security. We particularly scrutinize published reports by NIST on smart grid security and privacy as the basis for our discussions.","","978-1-4673-1864-8","10.1109/SE4SG.2012.6225718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225718","Smart grid;Adaptive software;Security and privacy;Security requirements","Security;Privacy;Smart grids;Monitoring;NIST;Computer architecture;Runtime","data privacy;failure analysis;power engineering computing;power system security;smart power grids;software engineering","smart grids privacy;smart grids adaptive security;software engineering vision;energy producers;privacy threats;security threats;automating prevention;privacy requirements failures;security requirements failures;reconfiguring system controls;engineering adaptive security;NIST","","10","1","16","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"A 1.96mm2 low-latency multi-mode crypto-coprocessor for PKC-based IoT security protocols","C. -R. Tsai; M. -C. Hsiao; W. -C. Shen; A. -Y. A. Wu; C. -M. Cheng","Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, TAIWAN; Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, TAIWAN; Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, TAIWAN; Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, TAIWAN; Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, TAIWAN","2015 IEEE International Symposium on Circuits and Systems (ISCAS)","30 Jul 2015","2015","","","834","837","In this paper, we present the implementation of a multi-mode crypto-coprocessor, which can support three different public-key cryptography (PKC) engines (NTRU, TTS, Pairing) used in post-quantum and identity-based cryptosystems. The PKC-based security protocols are more energy-efficient because they usually require less communication overhead than symmetric-key-based counterparts. In this work, we propose the first-of-its-kind tri-mode PKC coprocessor for secured data transmission in Internet-of-Things (IoT) systems. For the purpose of low energy consumption, the crypto-coprocessor incorporates three design features, including 1) specialized instruction set for the multi-mode cryptosystems, 2) a highly parallel arithmetic unit for cryptographic kernel operations, and 3) a smart scheduling unit with intelligent control mechanism. By utilizing the parallel arithmetic unit, the proposed crypto-coprocessor can achieve about 50% speed up. Meanwhile, the smart scheduling unit can save up to 18% of the total latency. The crypto-coprocessor was implemented with AHB interface in TSMC 90nm CMOS technology, and the die size is only 1.96 mm2. Furthermore, our chip is integrated with an ARM-based system-on-chip (SoC) platform for functional verification.","2158-1525","978-1-4799-8391-9","10.1109/ISCAS.2015.7168763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7168763","Public-key cryptography;crypto-coprocessor;IoT;SoC","Engines;Polynomials;Computer architecture;Elliptic curve cryptography;System-on-chip","CMOS integrated circuits;coprocessors;cryptographic protocols;Internet of Things","multimode cryptocoprocessor;IoT security protocols;public key cryptography;PKC engines;identity based cryptosystems;post quantum cryptosystems;PKC based security protocols;symmetric key based counterparts;PKC coprocessor;secured data transmission;Internet-of-Things systems;IoT systems;highly parallel arithmetic unit;cryptographic kernel operations;smart scheduling unit;intelligent control mechanism;parallel arithmetic unit;CMOS technology;system-on-chip;SoC platform;functional verification","","1","","11","IEEE","30 Jul 2015","","","IEEE","IEEE Conferences"
"Research on the Diagnosis of Insulator Operating State Based on Improved Neural Networks","S. Wang; Z. Zhang; L. Xue","Hubei University of Technology, Wuhan, China; Hubei University of Technology, Wuhan, China; Shandong University of Science and Technology, Qingdao, China","2009 Fifth International Conference on Natural Computation","28 Dec 2009","2009","1","","289","293","Power transmission line insulator is an important part for power system security. Because insulator has complex operating environment and its infection factors interact on each other, the diagnosis of insulator running state is very difficult. It is needed to use some useful information to conclude insulator operating state. Here, RBF neural network is employed to identify and predict the needed time signals. In order to overcome the shortcoming of general RBF net that convergence speed is slow and plunge local extremum easily, a practical learning algorithm was proposed for adjusting the node number, centers and width of Gaussian function of hidden layer nodes effectively. Off-line training and on-line identifying were combined together to train networks and identify wire net signal. Experiment results show that the designed RBF network has strong reasoning and learning ability, which can diagnose insulator operating state unfailingly.","2157-9563","978-0-7695-3736-8","10.1109/ICNC.2009.385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364378","insulator operating state;diagnosis;RBF network;improved learning way","Insulation;Neural networks;Contamination;Leakage current;Frequency;Humidity;Pollution measurement;Power transmission lines;Signal processing;Radial basis function networks","environmental factors;Gaussian processes;insulators;power engineering computing;power system security;power transmission lines;radial basis function networks","insulator operating state diagnosis;power transmission line insulator;power system security;insulator running state;RBF neural network;learning algorithm;Gaussian function;identify wire net signal","","","","12","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
"A Novel Economical Embedded Multi-mode Intelligent Control System for Powered Wheelchair","J. Liu; H. Zhang; B. Fan; G. Wang; J. Wu","School of Mechanical and Electrical Engineering, University of Nanchang, Nanchang, China; School of Mechanical and Electrical Engineering, University of Nanchang, Nanchang, China; School of Mechanical and Electrical Engineering, University of Nanchang, Nanchang, China; Department of Electrical and Computer Engineering, University of Windsor, Windsor, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, Canada","2010 International Conference on Computing, Control and Industrial Engineering","28 Jun 2010","2010","1","","156","159","In order to assist different kinds of disabled persons and senior citizens, to lower the cost and improve the effectiveness and convenience of human-machine interaction, a novel economical embedded multi-mode intelligent control system for powered wheelchair is developed. The system is based on a high-performance 16-bit compact single chip system. It has “Manual”, “Speech”, “Vision”, and “Autonomous” four modes that are fulfilled by four modules. The mode and the corresponding module can be customized according to the needs of different users and situations and that makes a further lower cost. In addition, fusion of multi-mode and other security measures are discussed. The hardware, software, control mechanism, and some experimental results are elaborated in the paper.","","978-0-7695-4026-9","10.1109/CCIE.2010.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5492056","embedded control system;multi-mode human-machine interaction;intelligent wheelchair","Power generation economics;Intelligent control;Wheelchairs;Control systems;Costs;Man machine systems;Speech;Communication system control;Portable computers;Intelligent sensors","embedded systems;handicapped aids;intelligent control;man-machine systems;wheelchairs","economical embedded multimode intelligent control system;powered wheelchair;disabled persons;senior citizens;human-machine interaction","","12","","8","IEEE","28 Jun 2010","","","IEEE","IEEE Conferences"
"Fast Human Body Scan for Security Inspection Based on Multi-Mode Vortex Electromagnetic Wave","X. Zhang; K. Lv; H. Ma; S. Shao; J. Wei; H. Liu","The National Laboratory of Radar Signal Processing, Xidian University, Xi'an, China; The National Laboratory of Radar Signal Processing, Xidian University, Xi'an, China; The National Laboratory of Radar Signal Processing, Xidian University, Xi'an, China; The National Laboratory of Radar Signal Processing, Xidian University, Xi'an, China; School of Information Science and Technology, Northwest University Xi'an, China; The National Laboratory of Radar Signal Processing, Xidian University, Xi'an, China","2021 CIE International Conference on Radar (Radar)","8 Feb 2023","2021","","","2006","2010","The current security inspection technology is mostly composed of imaging and recognition steps, in which high-pixel imaging corresponds to high accuracy but high computational burden. In this paper, we propose a fast end-to-end method to connect the original data to security check results directly, where the two-dimensional fast beamforming is achieved by a one-dimensional mode scanning of the vortex electromagnetic wave. Vortex electromagnetic wave achieves a helical wavefront through phase modulation related to azimuth Angle, which can cover two-dimensional space through one-dimensional scanning, and different modal vortex echoes contain information of different parts of the human body, but modal dimension signals do not have a clear corresponding relationship with the scene like the image. So the rapid detection of human body is realized by the combination of multi-modal vortex wave and feed-forward neural network. Through the training and simulation of the network, the feasibility of the proposed system and method is proved, and the high recognition rate can be obtained with very little computation.","2640-7736","978-1-6654-9814-2","10.1109/Radar53847.2021.10028250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028250","security check;fast beamforming;vortex electromagnetic wave;feed-forward neural network","Training;Target recognition;Shape;Phase modulation;Electromagnetic scattering;Imaging;Radar","array signal processing;feature extraction;feedforward neural nets;inspection","clear corresponding relationship;current security inspection technology;different modal vortex echoes;fast end-to-end method;fast human body scan;high computational burden;high-pixel imaging corresponds;modal dimension signals;multimodal vortex wave;multimode vortex electromagnetic;one-dimensional mode scanning;one-dimensional scanning;recognition steps;security check results;two-dimensional fast beamforming;two-dimensional space;vortex electromagnetic wave","","","","12","IEEE","8 Feb 2023","","","IEEE","IEEE Conferences"
