"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Software Watermarking Algorithm Based on Stack-State Transition Graph","X. Jinchao; Z. Guosun","Department of Computer Science and Technology, University of Tongji, Shanghai, China; Department of Computer Science and Technology, University of Tongji, Shanghai, China","2010 Fourth International Conference on Network and System Security","15 Nov 2010","2010","","","83","88","In the Internet age, Software security and piracy becomes a more and more important issue. In order to prevent software from piracy and unauthorized modification, various techniques have been developed. Among them is software watermarking which protects software through embedding some secret information into software as an identifier of the ownership of copyright for this software. This paper gives an new algorithm based on stack-state transition graph, watermarks is embed by adding additional code in the executable file, and extracted by recognizing the relationship of stack-state which processed in runtime. Analysis proves that our algorithm is more reliable.","","978-1-4244-8484-3","10.1109/NSS.2010.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5636081","Digital Copyright;Dynamic Software Watermarking;Stack-state transition graph;Watermarking Algorithm","Watermarking;Software;Software algorithms;Heuristic algorithms;Algorithm design and analysis;Runtime","copyright;watermarking","software watermarking algorithm;stack-state transition graph;Internet age;software security;software piracy;copyright","","","","19","IEEE","15 Nov 2010","","","IEEE","IEEE Conferences"
"An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC","J. Gao; Y. Li; Y. Li; T. Gong; F. Xu; Q. Zhao; H. Jiang; J. Jia","Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China","2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP)","24 May 2022","2022","","","976","979","Industrial control system (ICS) integrating different software and hardware is not only to collect, obtain and calculate data information, but also to control the machine or production process so that it can run automatically. Ormon PLCs are widely used in critical manufactures and have adopted factory interface network service (Fins) protocol to exchange message. The recent articles indicate that Ormon PLCs used Fins Ethernet protocol were exposed to mode-switching malicious network attack. However, the traditional detection methods based on function codes and Snort detection rules could not get an ideal result. In this paper, we propose a method that can overcome these problems in dealing with mode-switching attack by an external hash authentication device embedding asymmetric encryption. This security device built into a hash authentication mechanism, which is responsible for identifying and distinguishing the interaction information message between the upper computer and PLC interaction information. In order to validate our method, some experiments have been done to show that defend method can disrupt successfully the communication link between the attacking computer and PLC device to defend this malicious cyber attacks efficiently.","","978-1-6654-7857-1","10.1109/ICSP54964.2022.9778843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843","Industry control system (ICS);Ormon PLC;Mode-switching Attack;Hash Authentication","Integrated circuits;Protocols;Authentication;Process control;Ethernet;Switches;Signal processing","computer network security;control engineering computing;cryptography;industrial control;local area networks;machinery production industries;production engineering computing;programmable controllers","Ormon PLC;industrial control system;different software;data information;factory interface network service protocol;Fins Ethernet protocol;Snort detection rules;external hash authentication device;hash authentication mechanism;interaction information message;PLC interaction information;attacking computer;malicious cyber attacks;mode switching malicious network attack;mode switching attack","","","","14","IEEE","24 May 2022","","","IEEE","IEEE Conferences"
"A Software-Defined Security Strategy for Supporting Autonomic Security Enforcement in Distributed Cloud","M. Compastié; R. Badonnel; O. Festor; R. He; M. Kassi-Lahlou","MADYNES Research Team - LORIA/INRIA, France; MADYNES Research Team - LORIA/INRIA, France; MADYNES Research Team - LORIA/INRIA, France; Orange Labs, France; Orange Labs, France","2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)","26 Jan 2017","2016","","","464","467","We propose in this paper a software-defined security framework, for supporting the enforcement of security policies in distributed cloud environments. These ones require security mechanisms able to cape with their multi-tenancy and multi-cloud properties. This framework relies on the autonomic paradigm to dynamically configure and adjust these mechanisms to distributed cloud constraints, and exploit the software-defined logic to express and propagate security policies to the considered cloud resources. The proposed framework is evaluated through a set of validation scenarios corresponding to a realistic use cases including cloud resource allocation/deallocation, cloud resource state change, and dynamic access control.","2330-2186","978-1-5090-1445-3","10.1109/CloudCom.2016.0079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830720","computer security;network and service management;cloud computing;autonomic computing;policy based management","Cloud computing;Computer architecture;Protocols;Servers;Context;Security management","authorisation;cloud computing;distributed processing;resource allocation;software fault tolerance","software-defined security strategy;autonomic security enforcement;distributed cloud environments;security policies;multitenancy properties;multicloud properties;software-defined logic;cloud resource allocation;cloud resource deallocation;cloud resource state change;dynamic access control","","6","","13","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
"Evaluating a Representational State Transfer (REST) Architecture: What is the Impact of REST in My Architecture?","B. Costa; P. F. Pires; F. C. Delicato; P. Merson","Department of Computer Science, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Computer Science, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Computer Science, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil; Software Engineering Institute, Pittsburgh, PA, USA","2014 IEEE/IFIP Conference on Software Architecture","9 Jun 2014","2014","","","105","114","The use of Representational State Transfer (REST) as an architectural style for integrating services and applications brings several benefits, but also poses new challenges and risks. Particularly important among those risks are failures to effectively address quality attribute requirements such as security, reliability, and performance. An architecture evaluation early in the software life cycle can identify and help mitigate those risks. In this paper we present guidelines to assist architecture evaluation activities in REST-based systems. These guidelines can be systematically used in conjunction with scenario-based evaluation methods to reason about design considerations and trade-offs. This paper also presents a proof of concept to describe how to use the guidelines in the context of an Architecture Trade-off Analysis Method (ATAM) evaluation.","","978-1-4799-3412-6","10.1109/WICSA.2014.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6827107","software architecture evaluation;scenario-based evaluation guidelines;REST","Computer architecture;Servers;Guidelines;Protocols;Interviews;Concrete;Software","risk management;software architecture","REST architecture;representational state transfer architecture;quality attribute requirements;security attribute;reliability attribute;performance attribute;software life cycle;risk mitigation;architecture evaluation activities;REST-based systems;scenario-based evaluation methods;ATAM evaluation;architecture trade-off analysis method","","12","","22","IEEE","9 Jun 2014","","","IEEE","IEEE Conferences"
"Security policy transition framework for Software Defined networks","J. H. Cox; R. J. Clark; H. L. Owen","School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, Georgia; College of Computing, Georgia Institute of Technology, Atlanta, Georgia; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, Georgia","2016 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN)","8 May 2017","2016","","","56","61","Controllers for software defined networks (SDNs) are quickly maturing to offer network operators more intuitive programming frameworks and greater abstractions for network application development. Likewise, many security solutions now exist within SDN environments for detecting and blocking clients who violate network policies. However, many of these solutions stop at triggering the security measure and give little thought to amending it. As a consequence, once the violation is addressed, no clear path exists for reinstating the flagged client beyond having the network operator reset the controller or manually implement a state change via an external command. This presents a burden for the network and its clients and administrators. Hence, we present a security policy transition framework for revoking security measures in an SDN environment once said measures are activated.","","978-1-5090-0933-6","10.1109/NFV-SDN.2016.7919476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919476","Security Policy Transitions;Software Defined Networks;SDN;Network Operating System;NOS;Network Security Policies;Network Access Control;NAC;RYU;Ryuretic","Software;Access control;Ports (Computers);Kinetic theory;Monitoring","computer network security;software defined networking","security policy transition framework;software defined networks;programming frameworks;network application development;SDN environments;external command","","5","","17","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Network security analyzing and modeling based on Petri net and Attack tree for SDN","L. Yao; P. Dong; T. Zheng; H. Zhang; X. Du; M. Guizani","School of Electronic Information and Engineering, Beijing Jiao Tong University, P. R. China; School of Electronic Information and Engineering, Beijing Jiao Tong University, P. R. China; School of Electronic Information and Engineering, Beijing Jiao Tong University, P. R. China; School of Electronic Information and Engineering, Beijing Jiao Tong University, P. R. China; Department of Computer and Information Sciences, Temple University, USA; Electrical and Computer Engineering Department, University of Idaho, ID, USA","2016 International Conference on Computing, Networking and Communications (ICNC)","24 Mar 2016","2016","","","1","5","Due to the widespread research on Software Defined Networks (SDNs), its security has received much attention recently. But most of those attempts consider SDN security from the OpenFlow perspective. To the best of our knowledge, none so far has paid attention to the security analysis and modeling of Forwarding and Control planes Separation Network Structure (FCSNS) in SDN. Therefore, this paper provides a different approach to network security based on Petri net and Attack tree models. Our objective is to analyze the FCSNS security via the combination of model and state. This method represents the network structure and state transferring by way of Petri net. In addition, it introduces the security analysis method of STRIDE to build up the Attack tree model. Finally, we analyze FCSNS via the combination of Petri net and Attack tree model and present the results. Our results are very promising in using such models to achieve such security objectives.","","978-1-4673-8579-4","10.1109/ICCNC.2016.7440631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7440631","Control;Forward;Separation;Petri net;Attack tree;OpenFlow;SDN","Switches;Security;Petri nets;Analytical models;Data communication;Network topology","Petri nets;software defined networking;telecommunication security;trees (mathematics)","network security;Petri net;attack tree;software defined networks;SDN;OpenFlow perspective;forwarding and control planes separation network structure;FCSNS security","","8","","18","IEEE","24 Mar 2016","","","IEEE","IEEE Conferences"
"GCG: General Consistencies Guarantee of Software-Defined Network Updates","Z. Wang; C. Shu; Z. Zhao; Y. Zhang; L. Yang; G. Min","School of Computer Science, University of Electronic Science and Technology of China; School of Computer Science, University of Electronic Science and Technology of China; School of Computer Science, University of Electronic Science and Technology of China; School of Computer Science, University of Electronic Science and Technology of China; School of Computer Science, University of Electronic Science and Technology of China; College of Computer Science, University of Exeter","2017 IEEE 19th International Conference on High Performance Computing and Communications; IEEE 15th International Conference on Smart City; IEEE 3rd International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","15 Feb 2018","2017","","","631","632","Network state changes are one of the major reasons of instability in network, resulting in disruptions, undesirable performance degradation or security vulnerabilities. Although the states before and after the update can be easily guaranteed correct, the intermediate states often produce the instantaneous incorrect network behaviors. In this paper, we propose General Consistencies Guarantee (GCG), a fast and consistent solution to update the computer network in the Software-Definition Networks (SDNs). GCG updates single flow to ensure connectivity and policy consistency by adjusting updating order and inserting two rules. GCG also guarantees performance consistency with the dependency graph. Simulation experimental results show that success rate of GCG are significantly improved.","","978-1-5386-2588-0","10.1109/HPCC-SmartCity-DSS.2017.88","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291991","Software-defined networking; network update; consistency","Conferences;Bandwidth;Complexity theory;Computer science;Security;Topology;High performance computing","graph theory;software defined networking","dependency graph;SDN;security vulnerabilities;software-definition networks;computer network;instantaneous incorrect network behaviors;general consistencies guarantee;GCG","","1","","2","IEEE","15 Feb 2018","","","IEEE","IEEE Conferences"
"Software and hardware co-verification for privacy-enhanced passive UHF RFID tag","Y. Li; T. Naksone; K. Sakiyama","Department of Informatics, The University of Electro-Communications, Chofu, Tokyo, Japan; Department of Informatics, The University of Electro-Communications, Chofu, Tokyo, Japan; Department of Informatics, The University of Electro-Communications, Chofu, Tokyo, Japan","2014 IEEE International Symposium on Electromagnetic Compatibility (EMC)","20 Nov 2014","2014","","","752","757","RFID system is one of the most important components for the construction of the Internet of Things. The wireless communication between the tag reader and the RFID tag is based on electromagnetic radiation, which is fully accessible by adversaries and brings the security and privacy problems. The RFID-based applications that are related to personal information urgently require the practical solution to the privacy protection. This work introduces a software and hardware combined functionality verification for a privacy-preserving RFID design. The target RFID design is the digital part of a passive UHF RFID tag with hash-based mutual authentication protocol and privacy-mode switch. We introduce the setup, the procedures and the results of the performed simulation-based and FPGA-based functionality verification. Finally, we explain the benefits and limitations of the performed experiments.","2158-1118","978-1-4799-5545-9","10.1109/ISEMC.2014.6899069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6899069","","Radiofrequency identification;Authentication;Privacy;Field programmable gate arrays;Servers;Clocks;Software","electromagnetic wave propagation;protocols;radiofrequency identification;telecommunication security","software and hardware coverification;privacy enhanced passive UHF RFID tag;RFID system;Internet of Things;wireless communication;electromagnetic radiation;privacy problems;security problems;personal information;privacy protection;privacy preserving RFID design;authentication protocol;privacy mode switch;FPGA based functionality verification","","2","","13","IEEE","20 Nov 2014","","","IEEE","IEEE Conferences"
"Time-Triggered Architecture (TTA) in Industry Hard R-T Embedded Control Software Design","W. Bin; Z. Yunsheng; X. Xin; W. Shuai","Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China","2007 Chinese Control Conference","15 Oct 2007","2007","","","736","739","Conventional event-triggered architecture (ETA) can not meet the industry hard R-T control requirements in security field. This paper studies a hard R-T control embedded control software design mode based on TTA; discusses the task scheduling principle and mode switching method which are based on TTA; and give a series of concrete formalized description and the sequence chart of execution.","1934-1768","978-7-81124-055-9","10.1109/CHICC.2006.4347271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4347271","time-triggered architecture;hard R-T control;mode switching","Computer architecture;Computer industry;Industrial control;Software design;Time of arrival estimation;Automatic control;Design engineering;Electronic mail;Information security;Job shop scheduling","embedded systems;industrial control;scheduling;security of data;software architecture;task analysis","time-triggered architecture;industry hard R-T embedded control software design;event-triggered architecture;security field;task scheduling principle;mode switching method;formalized description","","","","5","IEEE","15 Oct 2007","","","IEEE","IEEE Conferences"
"Solutions to data optimization and security for web services in GNSS applications based on android smartphone","Pham Tien Hung; Tran Minh Hoat; Nguyen Thanh Tuan; Ha Duyen Trung; Hoang Van Dung",NA; NA; NA; NA; NA,"2013 Third World Congress on Information and Communication Technologies (WICT 2013)","1 Jun 2015","2013","","","63","68","In recent years, web services are increasingly omnipresent in the internet and expected to dominate software industry in near future especially in the era of smartphones. The prevalence of web services can be seen obviously through a variety of applications in e-business, remote management and other fields. In this paper, we investigate the applicability of Representational State Transfer (REST)-based web services model in Global Navigation Satellite System (GNSS) applications with its numerous advantages compared to others. After experimental analysis results, the model fulfilled our expectation of data processing, transmitting and security for vehicle tracking applications based on android smartphones. In addition, by dint of the limited processing ability of android devices, algorithms to optimize positioning data are also presented.","","978-1-4799-3230-6","10.1109/WICT.2013.7113110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113110","GNSS applications;Vehicle tracking;Web services","Androids;Humanoid robots;XML;Cryptography;World Wide Web;Simple object access protocol","Internet;mobile computing;satellite navigation;security of data;smart phones;Web services","data optimization;Web service security;GNSS applications;Internet;remote management;e-business;representational state transfer;REST;global navigation satellite system;android devices;android smartphones","","","","15","IEEE","1 Jun 2015","","","IEEE","IEEE Conferences"
