id,title,abstract
1,An integrated state transition-Boolean logic model for security analysis in cloud computing,"The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own challenges the most echoed being security. Security concerns herein, birthed by the exposure of the cloud to different threats, continue to cast doubts on potential users and it's only befitting that such concerns are addressed. Users who entrust their data to the cloud want their data to be secured in the strongest terms possible. Once data leaves the user, the onus is on the cloud provider to provide the required security since data now lies within their perimeter of jurisdiction. But security requirements do change with time and this therefore calls for a continuous process of evaluating the security status of the cloud system. This paper proposes a model of analyzing the security status of the cloud system with regards confidentiality, integrity and availability. We employ state transitions of a conceptual finite state machine, Boolean algebra and logic to evaluate the various states of the system when a specified breach occurs. The scope of this paper is limited to user data on the cloud and not as it traverses the network between the user and the provider."
20,Rapid Security Situation Prediction of Smart Grid Based on Markov Chain,"Based on Markov chain analysis method, the situation prediction of smart grid security and stability can be judged in this paper. First component state transition probability matrix and component state prediction were defined. A fast derivation method of Markov state transition probability matrix using in system state prediction was proposed. The Matlab program using this method was compiled to analyze and obtain the future state probability distribution of grid system. As a comparison the system state distribution was simulated based on sequential Monte Carlo method, which was in good agreement with the state transition matrix, and the validity of the method was verified. Furthermore, the situation prediction of the six-node example was analyzed, which provided an effective prediction and analysis tool for the security situation."
24,Software defined network: Future of networking,"The digital world we live in has been lead by the evolution of Internet, which has created revolution. Today almost everything is connected and accessible from anywhere, everywhere. Unfortunately, the traditional IP network system is still complex, not easily manageable and difficult to reconfigure in case of any change or fault. Software Defined Networking (SDN) is an emerging paradigm separates the network's control logic from the underlying routers and switches, promoting logical centralization of network control and introducing the ability to program the network. It has become the focus in the current information and communication technology area because of its flexibility and programmability. SDN abstracts low-level network functionalities to simplify network management. The OpenFlow protocol implements the SDN concept by abstracting network elements. It offers flexible and scalable functionality for network by decoupling the network control from forwarding devices. SDN uses a REST API (Representational State Transfer) for communication between controller and another application."
38,State Based Network Isolation for Critical Infrastructure Systems Security,"The collision of information technology (IT) and operational technology (OT) networks has resulted in some significant security challenges. Cyber attacks are now taking place against critical infrastructures and the nature of industrial automation control systems equipment in OT networks makes traditional IT security measures more difficult if not impossible to employ. A new method of system isolation based on system state vice network traffic restrictions is presented as a means to protect critical systems from conventional IT based attacks. This new method of protection functions by isolating systems from the network, yet moving data in form of state transfer vice network message. This method improves reliability and provides a means of protection from most current IT based attack vectors."
73,Towards a Framework for Safe and Secure Adaptive Collaborative Systems,"Real-time adaptive systems are complex systems capable to adapt their behavior to changing conditions in the environment, and/or internal state changes. Highly dynamic and possibly unpredictable environments, and uncertain operating conditions call for new paradigms of software design, and run-time adaptation mechanisms, to overcome the lack of knowledge at design time. Main application areas include vehicles or robots that need to collaborate to achieve a common task, e.g., minimize fuel consumption, moving objects at a construction site, or performing a set of operations in a factory. Moreover, these vehicles or robots need to interact and possibly collaborate with humans in a safe way, e.g., avoiding accidents or collisions, and prevent hazardous situations that may harm humans and/or machines. % This paper proposes a framework for developing safe and secure adaptive collaborative systems, with run-time guarantees. To enable this, our focus is on requirement engineering and safety assurance techniques to capture the specific safety and security properties for the collaborative system, and to provide an assurance case guaranteeing that the system is sufficiently safe. Moreover, the paper proposes an architecture and behavioral models to analyze the requirements at run-time. Finally, we design a suitable deployment platform to perform the run-time analysis and planning while guaranteeing the real-time constraints."
79,Securing APIs and Chaos Engineering,"Suppose information security starts to embrace the reality that failure will happen. In that case, we can move from trying to build the perfectly secure system to continue asking questions like “how much vulnerability do I have and what control do I need to be effective?” This paper proposes Security Chaos Engineering as a method to expose API vulnerabilities and enhance API security. RESTful API has gained popularity in recent years due to its reusability, flexibility and natural adaptation to modern web application, mobile application, and cloud computing. However, ensuring secure API/data access and hence mitigating reputational and/or financial damage to the organization is still in its early stage. Foundational security protection mechanisms include transport layer security, authentication / authorization of the consumer (either individual or application). To complete the spectrum of secure API access and provide advanced protection, there is much more to consider: mitigation of API specific vulnerabilities at design and implementation time. API Security using Chaos Engineering is an approach for learning about system security behavers when using APIs by applying empirical exploration. Security Chaos Engineering is the discipline of experimenting to build confidence in the system’s security and see how a system can withstand threats in production. Security Chaos Engineering isn’t about creating chaos. It is about making the security chaos inherent in the system visible."
92,Securing Designs of an Area Efficient BIST Technique in UART,"Proliferation drift of IC trade, many microchips are modeled in foundry. Presence of behaving-inbuilt hardware Trojans (HTs) is of very tight security concern, without the awareness of end users or original designers of host, to identify Trojans-free circuit. For this designer seeks low switching probability nets to insert HTs to reduce power leakage. But circuit's net experiences distinct state and switching probabilities on test and function mode. Proposed method, fast heuristic, is actuated on circuit under test (CUT). This is minimal complex, high accurate, popular standard and complex circuit tested with reasonable delay. In hardware self-testing, (built in self test) offer worthy solution to reduces product failure, complexity occurs in proliferation. Design and actuation of universal asynchronous receiver transmitter (UART), to reduce power, area, to reach portable, stable and reliable data transmission is employed."
98,Multi-mode and distributed model predictive control for whole day train regulation,"To further improve the operation efficiency of metro trains, a multi-mode and distributed model predictive control (DMPC) algorithm is proposed for whole day train regulation of metro transportation in presence of time-varying passenger arrival rate and disturbances. Firstly, a multi-mode switching train operation model in a metro line is built with a switched linear function describing dynamic passenger demand. Secondly, a DMPC-based strategy for train regulation is proposed to ensure the punctuality and security of whole day train operation. Furthermore, numerical examples are present and the progress and practicability of the proposed train regulation strategy are illustrated, revealing that the proposed algorithm can significantly reduce the computation time so as to improve the real-time regulation performance."
124,A Low-Cost Fault Injection Attack Resilient FSM Design,"Finite state machine (FSM) plays an important role in digital circuit design. Since it stores the system states and controls system functionality, security vulnerabilities of FSM have been exploited extensively. Among the potential attacks, fault inject attack (FIA) is one of the most severe and most challenging to defend against. Unlike existing countermeasures, we propose a novel structure for FSM state flip flop design that can mitigate any kind of timing based FIAs. Our key idea is to sample the flip flop input signals multiple times during one clock cycle, and then compare these values to determine the correct one. This can effectively defeat all the FIAs based on violating FSM state setup time constraint. In addition, such design will make the design more robust against jitters. In order to reduce the design overhead, we use the low-cost transmission gates to implement the proposed latch and flip flop. We use Hspice to simulate the error conditions with delayed input data and jitter and the results confirm that our design is error resilient. We also implement the FSM in AES with our proposed flip flops and compare the area overhead with existing FIA countermeasures. Results show that the two state-of-the-art approaches have 2X and 4X area overhead than ours."
138,Toward the Web of Things: Applying Web Technologies to the Physical World,"Just as Internet connectivity has enabled intuitive information sharing and interaction through the Web, so the Internet of Things might be the basis for the Web of Things, enabling equally simple interaction among devices, systems, users, and applications."
146,Attack Detection and Mitigation for Sensor and CAN Bus Attacks in Vehicle Anti-lock Braking Systems,"For a modern vehicle, if a sensor in the vehicle Anti-lock Braking System (ABS) or the controller area network (CAN) bus is attacked during a brake process, the vehicle will lose driving direction control and driver's life will be highly threatened. However, current methods for detecting attacks are not sufficiently accurate and no methods can provide attack mitigation. To ensure vehicle ABS security, we propose an attack detection method to accurately detect both sensor attack and CAN bus attack in a vehicle ABS, and an attack mitigation strategy to mitigate their negative effects on the vehicle ABS. In our attack detection method, we build a vehicle state space equation which considers real-time road friction coefficient to predict vehicle states (i.e., wheel speed and longitudinal brake force) with their previous values. Based on sets of historical measured vehicle states, we develop a search algorithm to find out attack changes (vehicle state changes because of the attack) by minimizing errors between predicted vehicle states and measured vehicle states. In our attack mitigation strategy, attack changes are subtracted from measured vehicle states to generate correct vehicle states for the vehicle ABS. We conducted first real sensor attack experiments to show how a magnet affects sensor readings. Our experimental results demonstrate that our attack detection method can detect sensor attack and CAN bus attack more accurately compared with existing methods, and also our attack mitigation strategy almost eliminates attack's effects on the vehicle ABS."
148,N-variant IC design: Methodology and applications,"We propose the first method for designing N-variant sequential circuits. The flexibility provided by the N-variants enables a number of important tasks, including IP protection, IP metering, security, design optimization, self-adaptation and fault-tolerance. The method is based on extending the finite state machine (FSM) of the design to include multiple variants of the same design specification. The state transitions are managed by added signals that may come from various triggers depending on the target application. We devise an algorithm for implementing the N-variant IC design. We discuss the necessary manipulations of the added signals that would facilitate the various tasks. The key advantage to integrating the heterogeneity in the functional specification of the design is that we can configure the variants during or post-manufacturing, but removal, extraction or deletion of the variants is not viable. Experimental results on benchmark circuits demonstrate that the method can be automatically and efficiently implemented. Because of its lightweight, N-variant design is particularly well-suited for securing embedded systems. As a proof-of-concept, we implement the N-variant method for content protection in portable media players, e.g., iPod. We discuss how the N-variant design methodology readily enables new digital rights management methods."
149,Hybrid Bypass Protection of Hybrid Smart Transformers for Advanced Grid Support,"Due to the rapid transformation of traditional grid into a complex meshed network along with an exponential integration of volatile distributed energy resources (DERs); wind and photovoltaic (PV) farms, and converter-based loads; electric vehicles (EVs) etc., traditional grid operation strategies are stressed, and mitigation measures are required. Accordingly, a myriad of dynamic mitigation devices have been proposed in the last few decades where these devices are installed at strategic points in the grid. Transformer-less power electronics-based modules, integrated between the neutral and substation ground of traditional transformers, have been proposed introducing a variety of advanced grid mitigation and support features; DC elimination, voltage regulation, voltage and impedance balancing, harmonics isolation and power flow control. However, the protection of these series-connected modules against high voltage development during ground faults or inrush currents is critical as it could damage these converter-based mitigation devices or exceed the transformer BIL rating, thus, severely threatening the energy security. This paper presents an effective transformer and the module protection scheme utilizing a hybrid AC/DC solid-state switch. The proposed scheme is evaluated on an emulated 25-kVA, 7.2kV/240V single-phase hybrid smart transformer (HST), utilizing Typhoon HIL that verifies its promising performance."
