id,title,abstract
12,Privacy-mode switching: Toward flexible privacy protection for RFID tags in Internet of Things,"The privacy problem becomes the biggest obstacle when applying the RFID technology to personal customers usage in Internet of Things. Privacy protection is in the cost of computational overhead and feasibility loss, and necessary for privacy-sensitive usages. We propose a RFID system in which the privacy protection can be turned on or off by validate authorities. The privacy-mode switching increases diversity of RFID usage, enables RFID recycles, and has limited hardware overhead for RFID tags. Based on a symmetric-key crypto-based mutual authentication protocol called OMHSO, we describe a construction of a RFID system with flexible privacy-mode switching."
47,A Steady-state Alarm Analysis Approach Base on Finite Automata and Moving Window Algorithm,"Owing to a great variety of unprocessed and unanalyzed signal in the power system operation, the dispatchers face challenges from the high-intensity work, meanwhile, which brings security risks. Aiming at this phenomenon, this paper proposes a power system steady-state Alarm Analysis Approach base on Finite automata and Moving window (A3FM). The A3FM model is designed to describe the transition of power network state, and real-time analysis of power system steady-state alarm. The practical application shows that A3FM can discriminate the target signal sequence, analyze the grid operation in real time and have the certain capacity of fault tolerance. It provides the basis for real-time power grid status monitor and operation decision. On this basis, it improves the security of power grid by reducing the risks of manual operation mistakes in high pressure."
48,Mobile information catalog surveillance,"Context based Mobile Information Catalog Surveillance is a mobile phone based communication application. This application will give the notification to the user whenever they want to communicate with their mobile virtually. This application proved to get the recent call logs details when you send a command as message to the Android mobile device. It is used on Business point of view surveillance and Security. If the user need to surveillance his mobile and he need to access the last message, call logs or you need to access the contacts which may be important, our application will get such information and pass them in the text message format to the commander mobile. We can also change to profile mode, divert the calls to other mobile and get the location of the mobile through GPS. The commander is the owner who sent the command to the mobile to surveillance his mobile."
52,Computational Security for Context-Awareness in Vehicular Ad-Hoc Networks,"Vehicular ad hoc networks can be viewed as a typical context-aware system where the experienced context frequently varies as vehicles move along road, e.g., signal-to-noise ratio (SNR), velocity, and traffic flow. In particular, the adopted security protection mechanisms often depend on the node state, location, and/or surrounding risk, which need the capability of context-aware security quantification. This paper views the security level as a user's inherent property that is only correlated with the user's behaviours and the situated context and independent of the suffered attack ways. We propose a formalized methodology to especially quantify the security level in real time from the perspective of state transition probability through estimating the stable probability of staying in the security state in inhomogeneous continuous time Markov chain. This paradigm enables users to customize the security protection mechanisms for adapting to the frequently varying context. We conduct the extensive numerical calculations and empirical analysis to comprehensively investigate the response of the proposed security quantification framework to the various combinations of the concerned parameters, e.g., SNR, velocity, and traffic flow. The results show that the proposed framework is capable of capturing the real-time security level adaptively to the vehicular context and provides a dependable decision basis to security protection, which can restrict the security to a target value."
71,Using Conditional Random Fields to Optimize a Self-Adaptive Bell–LaPadula Model in Control Systems,"Once defined, the access control policies and regulations would never be changed in a running and state transition process. However, it will give attackers the possibility of discovering vulnerabilities in the system, and the control systems lack the ability of dynamic perception of security state and risk, causing the systems to be exposed to risks. In this article, a dynamic Bell-LaPadula (BLP) model is proposed. The conditional random field (CRF) is introduced into the BLP model to optimize the rules. First, the model formalizes the security attributes, states of system, transition rules, and constraint models on the basis of the state transition of CRFs. After the historical system access logs are processed as the original dataset, a feature selection method is proposed to extract the requests and current states as feature vectors. Second, this article presents a rules training algorithm based on L-BFGS to implement the study and training of datasets, and then marks the logs in the test set through Viterbi algorithm automatically. On the base of these, a rule generation algorithm is proposed to dynamically adjust the access control rules based on the current security status and events of the system. Third, the security of CRFs-BLP is proved by theoretical analysis. Finally, the validity and accuracy of the model are verified by estimating the value of the precision, recall, and F1-score. As the system threats are shown to be decreased obviously from these experiments, this dynamic model can decrease the vulnerabilities and risk effectively."
80,Agent Based Cybersecurity Model for Business Entity Risk Assessment,"Computer networks and surging advancements of innovative information technology construct a critical infrastructure for network transactions of business entities. Information exchange and data access though such infrastructure is scrutinized by adversaries for vulnerabilities that lead to cyber-attacks. This paper presents an agent-based system modelling to conceptualize and extract explicit and latent structure of the complex enterprise systems as well as human interactions within the system to determine common vulnerabilities of the entity. The model captures emergent behavior resulting from interactions of multiple network agents including the number of workstations, regular, administrator and third-party users, external and internal attacks, defense mechanisms for the network setting, and many other parameters. A risk-based approach to modelling cybersecurity of a business entity is utilized to derive the rate of attacks. A neural network model will generalize the type of attack based on network traffic features allowing dynamic state changes. Rules of engagement to generate self-organizing behavior will be leveraged to appoint a defense mechanism suitable for the attack-state of the model. The effectiveness of the model will be depicted by time-state chart that shows the number of affected assets for the different types of attacks triggered by the entity risk and the time it takes to revert into normal state. The model will also associate a relevant cost per incident occurrence that derives the need for enhancement of security solutions."
82,Survivability evaluation index systems and evaluation models for Wireless Sensor Networks,"Survivability evaluation index systems and evaluation models are important basis for evaluating network survivability. The Analytic Hierarchy Process (AHP) is a common system evaluation method, but it cannot reflect the mutual influence among evaluation indexes. In order to overcome the defects of AHP, the survivability evaluation index set of Wireless Sensor Network (WSN) in emergency communications is selected comprehensively, and establishes a survivability index system of WSN based on the Analytic Network Process (ANP). Then, a survivability evaluation model for clustering WSN based on semi-Markov Process (SMP) is put forward in this paper, and a SMP-based survival state transition diagram of cluster head is given. Survivability evaluation index systems and evaluation models are not only helpful to accessing the survivability of WSN in emergency communications objectively and effectively, but also to providing reference basis for the actual deployment and application of WSN."
106,Runtime System Support for CPS Software Rejuvenation,"Software rejuvenation, which was originally introduced to deal with performance degradation due to software aging, has recently been proposed as a mechanism to provide protection against run-time cyber attacks in cyber-physical systems (CPSs). Experiments have demonstrated that CPSs can be protected from attacks that corrupt run-time code and data by periodically restoring the run-time system with an uncorrupted image. Control theoretic and empirical methods have been developed to determine the timing and mode-switching conditions for CPS software rejuvenation (CPS SR) that will guarantee system safety. This paper presents the requirements that need to be met by the run-time system to support CPS SR. It also presents an implementation and demonstration of the run-time system for the PX4 autopilot system for autonomous vehicles."
160,Preserving Contextual Privacy for Smart Home IoT Devices With Dynamic Traffic Shaping,"Internet of Things (IoT) enables physical devices embedded with sensors, software, and other technologies to interoperate and exchange data with other systems over the Internet. Privacy is a huge concern for IoT devices as personal information is constantly being shared through them. Though the best industrial standards like end-to-end encryption are being followed to ensure content-based privacy, contextual privacy concerns still exist. This study focuses on user activity inference attacks, where a passive network observer can infer the private in-home activity of a user by analyzing encrypted IoT traffic metadata. Most of the previous solutions addressing these attacks have either reduced the usability of the devices, increased data overhead, or failed against packet-level signature-based attack scenarios. This study introduces a new defense mechanism that combines dummy packet generation with dynamic link padding. This process makes it difficult for the adversary to avail contextual information about the state of the device (ON or OFF), along with the temporal information (time of state change) from encrypted IoT traffic metadata. We reverse the packet-level signature-based attacks to get device-specific signatures, which helps us generate dummy traffic for the duration of device-specific signatures. Consequently, this results in increased false positives for device state identifications and low traffic overhead. We simulate a state-of-the-art attack scenario to test and vindicate our solution over existing data sets."
180,Steady state and dynamic security assessment in composite power systems,Security analysis is one of the important issues in power system reliability evaluation. A probabilistic method using sequential Monte Carlo simulation is introduced for modeling and integration of steady state and dynamic security assessment in computing the reliability indices. These system indices provide quantitative measures of the system operating states for use in short and long term planning. Case studies of the Western System Coordinating Council (WSCC) system and IEEE reliability test system (RTS) are described to demonstrate this approach.
188,Multi-mode SDR VSAT against big disasters,"As a result of the great east Japan earthquake, terrestrial communication infrastructure was seriously damaged. Thus the importance of secure satellite communication measures based on very small aperture antenna terminal (VSAT) systems has been recognized. In order to satisfy the various demands for urgent life line recovery, we have started an R&D project of “Satellite Communication Networks Valid for Disaster Recovery” as the next generation VSAT system. This project contains following three research topics. (1) multi-mode VSAT's based on software defined radio (SDR) technology, (2) low power consumption VSAT's and (3) emergency mode adaptive bandwidth control technique for HUB earth station."
222,Designing a Reconfigurable Security Architecture for Wireless Sensor Networks,"Dynamic reconfiguration makes the applications running on a deployed sensor networks dynamically evolve during the lifetime of its deployment. Adaptive security system (ADAPSEC), a reconfigurable security architecture for wireless sensor networks is proposed in this paper to meet the secure needs imposed by dynamic reconfiguration. It encapsulates the security aspects related to protection of communication, resources and component loading and enforces application-specific, fine-grained security policies. Based on ADAPSEC, optimal security policies can be selected and enforced in sensor networks according to the observed external conditions, internal resource constraints and application requirements."
238,Dynamic security control using secure regions derived from a decision tree technique,"This paper describes a real time dynamic security control technique in which rules derived from a decision tree learner are used to determine the necessary control actions to make an insecure power system state secure. A representative set of system operating states are classified as transiently stable or unstable by the extended equal area criterion (EEAC) for fast evaluation of transient stability and used as a training set for the decision tree, which outputs a set of classification rules. Security control is achieved by selecting optimal control actions to change the current, insecure state into a state within a secure region, without violating the acquired security rules. The technique is demonstrated on the 39 bus New England test system."
300,Efficient Network Management System with DACS Scheme,"Where customers with different membership and position, use computers as in the university network systems, it often takes much time and effort for them to cope with the change of the system management. This is because the requirements for the respective computer usage are different in the network and security policies. In this paper, a new destination addressing control system (DACS) scheme for the university network services is proposed. The DACS scheme performs the network services efficiently through the communication management of a client. As the characteristic of DACS scheme, only the setup modification is required by a system administrator, when the configuration change is needed in the network server. Then, the setup modification is unnecessary by a customer, which shows a merit for both a system administrator and a customer. This paper describes the instruction and the prototype for DACS protocol as the implementation of DACS scheme. Then, the simplicity of the system management in DACS scheme, is examined from the customer and the system administrator viewpoints"
303,A Chinese Multi-modal Relation Extraction Model for Internet Security of Finance,"As the base of the whole economy and society, internet security of finance directly affects the overall development of the country. With the development of the Internet, it is essential to effectively extract the relation between financial entities from internet financial intelligence and build a financial security knowledge graph, which lays the foundation for monitoring of internet security of finance. For relation extraction of Chinese internet financial intelligence, the existing models are all based on single-modal text semantics ignoring the role of Chinese pictographic semantics, while the shape and structure of Chinese characters contains useful semantics. In addition, the pictographic semantic fusion method of Chinese text also needs to be improved for better performance. To solve these shortcomings, we propose a Chinese Multimodal Relation Extraction model (CMRE), which improves the relation extraction ability on the Chinese internet financial intelligence. In CMRE, we extract pictographic semantics based on Chinese character shape and structure. Furthermore, we design a novel multi-modal semantic fusion module based on improved Transformer to effectively fuse the text and pictographic semantics. Additionally, we design experiments on the Chinese literature dataset(Sanwen) to test the relation extraction capability of CMRE. Finally, we employ CMRE to extract relations between financial entities on the internet financial intelligence dataset(FinRE) to compare with other baseline models."
306,Context-Aware Security for Vehicles and Fleets: A Survey,"Vehicles are becoming increasingly intelligent and connected. Interfaces for communication with the vehicle, such as WiFi and 5G, enable seamless integration into the user's life, but also cyber attacks on the vehicle. Therefore, research is working on in-vehicle countermeasures such as authentication, access controls, or intrusion detection. Recently, legal regulations have also become effective that require automobile manufacturers to set up a monitoring system for fleet-wide security analysis. The growing amount of software, networking, and the automation of driving create new challenges for security. Context-awareness, situational understanding, adaptive security, and threat intelligence are necessary to cope with these ever-increasing risks. In-vehicle security should be adaptive to secure the car in an infinite number of (driving) situations. For fleet-wide analysis and alert triage, knowledge and understanding of the circumstances are required. Context-awareness, nonetheless, has been sparsely considered in the field of vehicle security. This work aims to be a precursor to context-aware, adaptive and intelligent security for vehicles and fleets. To this end, we provide a comprehensive literature review that analyzes the vehicular as well as related domains. Our survey is mainly characterized by the detailed analysis of the context information that is relevant for vehicle security in the future."
328,SMM Revolutions,"The System Management Mode (SMM) is a highly privileged processor operating mode in x86 platforms. The goal of the SMM is to perform system management functions, such as hardware control and power management. Because of this, SMM has powerful resources. Moreover, its executive software executes unnoticed by any other component in the system, including operating systems and hypervisors. For that reason, SMM has been exploited in the past to facilitate attacks, misuse, or alternatively, building security tools capitalising on its resources. In this paper, we discuss how the use of the SMM has been contributing to the arms race between system's attackers and defenders. We analyse the main work published on attacks, misuse and implementing security tools in the SMM and how the SMM has been modified to respond to those issues. Finally, we discuss how Intel Software Guard Extensions (SGX) technology, a sort of ""hypervisor in processor"", presents a possible answer to the issue of using SMM for security purposes."
335,Scalable Data Storage Design for Nonstationary IoT Environment With Adaptive Security and Reliability,"Internet-of-Things (IoT) environment has a dynamic nature with high risks of confidentiality, integrity, and availability violations. The loss of information, denial of access, information leakage, collusion, technical failures, and data security breaches are difficult to predict and anticipate in advance. These types of nonstationarity are one of the main issues in the design of the reliable IoT infrastructure capable of mitigating their consequences. It is not sufficient to propose solutions for a given scenario, but mechanisms to adapt the current solution to changes in the environment. In this article, we present a multicloud storage architecture called WA-MRC-RRNS that combines the weighted access scheme, threshold secret sharing, and redundant residue number system with multiple failure detection/recovery mechanisms and homomorphic ciphers. We provide a theoretical analysis of the probability of information loss, data redundancy, speed of encoding/decoding, and show how to dynamically configure parameters to cope with different objective preferences, workloads, and cloud properties. We propose a multiobjective optimization mechanism to adjust redundancy, encryption-decryption speed, and data loss probability. Comprehensive experimental analysis with real data shows that our approach provides a secure way to mitigate the uncertainty of the use of untrusted and not reliable IoT infrastructure."
336,Security for space power systems,"An initial system security monitor (SSM) developed for the power system of a proposed NASA permanently manned space station is presented. Four types of ranked disturbances or faults to the transmission system are successively corrected by remedial action of the SSM. After each corrective action, the SSM verifies the system change that has been implemented, then proceeds to examine lower-priority disturbances if they persist. The SSM authority is limited by the operating state of the system, and only one correction is permitted for each scan cycle. The disturbance signals are verified by the use of a state estimator. The small network size permits use of connectivity searches of the network topology for possible corrective actions and a load flow to predict the effect of corrective actions. The data scan rate is higher than for earth-based systems. Line switching actions are implemented within line cycles because thyristors are used as circuit breakers. The work presents examples of disturbance identification and remedial action that could also apply to earth-based power systems.<>"
347,On Reusable Projective Garbling Schemes,"The popularity of network-based computation has increased during the past years. Storing data and performing computations using for example cloud services is commonplace nowadays. However, the information security in network-based computation rarely is satisfactory. One technique to improve information security for networked computations is based on secure multiparty computations. The idea of multiparty computation originates from Yao, who considered the secure computation with two parties by introducing the technique called garbled circuits. The technique was then generalized, but still the exact definitions for different security measures were not established until Bellare, Hoang and Rogaway proposed a definition of a garbling scheme and several security notions for garbling schemes. This gave inspiration to study the security properties of garbling schemes from different perspectives, including adaptivity and reusability. In this paper, we study the adaptive security for a certain type of reusable garbling schemes. First, we consider general constraints to achieve security for this specific type of garbling schemes. Then we analyze the adaptive security classes of reusable garbling schemes. More specifically, we prove a relation between security classes that has been left open in earlier research."
349,Adaptive Protective Relay Settings – A Vision to the Future,"Adaptive relaying utilizes the continuously changing status of the power system as the basis for online adjustment of the power system relay settings. Fundamentally they are protection schemes that adjust settings and/or logic of operations based on the prevailing conditions of the system. These adjustments can include, but are not limited to, the logging of data for post-mortem analysis, communication throughout the system, as well as changing relay parameters. Adaptive relaying considers the fact that the status of a power system can change. These include system configuration changes, load effect, cold load pickup, end-of-line protection, transformer protection, and automatic reclosing. In this research, the author focus on the need for a secure, selective, and reliable system for adaptive overcurrent protection in T&D and Distributed Energy Systems. Various types of adaptive methods are presented and explained along with some pros and cons of each."
384,Dynamic adaptive learning mobile agents for multi-modal input collaboration in home environment,Home server is developed to play the pivotal role of managing all home devices and multimedia content services through home networks. The possibility of a single user input device and single security agent to serve all the needs of the home is conventional to cope with the new technology revolution. The home server has to be enhanced to facilitate multi-modal inputs with multiple integrated user agents working together to facilitate all users at home. Processing of multiple input agents for dynamic context-aware output facilitates the system to learn adaptively using a probabilistic inference mechanism. We devise a hybrid collaboration architecture using fuzzy and neural agents to enhance our system operation to the trends of next generation home user requirements. Security in such a dynamic infrastructure is challenging. We devise mobile agents at each interface input device to manage multiple users using the mobile agent digital signatures to dynamically adapt to the context. The mobile agents are defined to operate the tasks on any mobile or stationary home device and collect the information needed for the home server. The system adapts to the dynamically changing user requirements and security context and produces the output based on the user's context
395,Modbus/DNP3 State-Based Intrusion Detection System,"The security of Industrial Critical Infrastructures is become a prominent problem with the advent of modern ICT technologies used to improve the performances and the features of the SCADA systems. In this paper we present an innovative approach to the design of Intrusion Detection Systems. The aim is to be able to detect complex attacks to SCADA systems, by monitoring its state evolution. By complex attack, we mean attacks composed of a set of commands that, while licit when considered in isolation on a single-packet basis, can disrupt the correct behavior of the system when executed in particular operating states. The proposed IDS detects these complex attacks thanks to an internal representation of the controlled SCADA system. We also present the corresponding rule language powerful enough to express the system's critical states. Furthermore, we present a prototype of the proposed IDS, able to monitor systems using the ModBus and DNP3 communication protocols."
